,track_name,album,artist,release_date,length,popularity,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,genre,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,predicted_genre,actual_genre
3481,"1, 2, 3, 4",Big Bad World,Plain White T's,2008-01-01,198360,62,0.4579999999999999,0.55,2,-7.0920000000000005,1,0.0262,0.5660000000000001,1.39e-05,0.10800000000000001,0.56,90.56,4,Rock,0.4579999999999999,0.55,2.0,-7.0920000000000005,1.0,0.0262,0.5660000000000001,1.39e-05,0.10800000000000001,0.56,90.56,4.0,3.0,1.0
3482,Video Killed The Radio Star,Pure Frosting,The Presidents Of The United States Of America,1998,202733,45,0.578,0.713,1,-6.8679999999999986,1,0.0578,0.184,0.0,0.102,0.741,140.72,4,Rock,0.578,0.713,1.0,-6.8679999999999986,1.0,0.0578,0.184,0.0,0.102,0.741,140.72,4.0,1.0,1.0
3484,Higher,Human Clay,Creed,1999-01-01,316733,69,0.4589999999999999,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.20600000000000002,0.431,155.827,4,Rock,0.4589999999999999,0.83,2.0,-6.254,1.0,0.0364,5.15e-05,0.00014,0.20600000000000002,0.431,155.827,4.0,1.0,1.0
3485,This Is The Last Time,Hopes And Fears,Keane,2004-01-01,207986,49,0.527,0.821,7,-4.13,1,0.03,0.0027,5.0999999999999995e-06,0.107,0.363,131.686,4,Rock,0.527,0.821,7.0,-4.13,1.0,0.03,0.0027,5.0999999999999995e-06,0.107,0.363,131.686,4.0,1.0,1.0
3486,Saint Joe On The School Bus,Marcy Playground,Marcy Playground,1997-01-01,200156,49,0.716,0.6859999999999999,4,-7.127000000000002,1,0.0329,0.0033299999999999,0.0036799999999999,0.126,0.8540000000000001,103.931,4,Rock,0.716,0.6859999999999999,4.0,-7.127000000000002,1.0,0.0329,0.0033299999999999,0.0036799999999999,0.126,0.8540000000000001,103.931,4.0,1.0,1.0
3487,Raging Fire,Behind The Light (Deluxe),Phillip Phillips,2014-01-01,234693,56,0.557,0.833,7,-4.671,1,0.073,0.00867,0.0,0.0621,0.449,125.90899999999999,4,Rock,0.557,0.833,7.0,-4.671,1.0,0.073,0.00867,0.0,0.0621,0.449,125.90899999999999,4.0,4.0,1.0
3490,The Way I Am,Girls And Boys,Ingrid Michaelson,2007-05-16,135386,54,0.8859999999999999,0.259,5,-9.246,1,0.0423,0.731,5.49e-06,0.10800000000000001,0.305,119.89399999999999,4,Rock,0.8859999999999999,0.259,5.0,-9.246,1.0,0.0423,0.731,5.49e-06,0.10800000000000001,0.305,119.89399999999999,4.0,0.0,1.0
3498,Smells Like Teen Spirit - 2015 Remaster,Little Earthquakes (Deluxe Edition),Tori Amos,1992-01-06,195160,52,0.251,0.263,8,-12.538,1,0.0327,0.93,0.00172,0.0954,0.1989999999999999,177.21,4,Rock,0.251,0.263,8.0,-12.538,1.0,0.0327,0.93,0.00172,0.0954,0.1989999999999999,177.21,4.0,0.0,1.0
3503,Light On,David Cook,David Cook,2008-11-18,228826,48,0.446,0.8340000000000001,9,-4.0139999999999985,0,0.0341,0.0794,0.0,0.114,0.363,132.034,4,Rock,0.7240000000000001,0.86,7.0,-3.5439999999999996,1.0,0.0872,0.0139,0.0,0.254,0.5529999999999999,96.956,4.0,5.0,5.0
3504,Real Big,The Mind Of Mannie Fresh,Mannie Fresh,2004-01-01,228826,48,0.7240000000000001,0.86,7,-3.5439999999999996,1,0.0872,0.0139,0.0,0.254,0.5529999999999999,96.956,4,hiphop,0.7240000000000001,0.86,7.0,-3.5439999999999996,1.0,0.0872,0.0139,0.0,0.254,0.5529999999999999,96.956,4.0,5.0,5.0
3507,Anna Sun,Walk The Moon,WALK THE MOON,2012-06-19,321280,65,0.47200000000000003,0.8440000000000001,10,-6.5779999999999985,1,0.054000000000000006,0.00173,0.0,0.24,0.34,140.034,4,Rock,0.47200000000000003,0.8440000000000001,10.0,-6.5779999999999985,1.0,0.054000000000000006,0.00173,0.0,0.24,0.34,140.034,4.0,1.0,1.0
3510,Pardon Me,Make Yourself,Incubus,1999-10-26,223746,68,0.579,0.812,1,-6.5089999999999995,0,0.0693,0.00114,0.0033299999999999,0.115,0.278,152.002,4,Rock,0.579,0.812,1.0,-6.5089999999999995,0.0,0.0693,0.00114,0.0033299999999999,0.115,0.278,152.002,4.0,1.0,1.0
